states,Democrat,Republican
AL,36.57,62.03
AK,42.77,52.83
AZ,49.36,49.06
AR,34.78,62.4
CA,63.48,34.32
CO,55.01,41.6
CT,59.26,39.19
DE,58.74,39.77
DC,92.15,5.4
FL,47.86,51.22
GA,49.47,49.24
HI,63.15,33.95
ID,33.07,63.84
IL,57.54,40.55
IN,40.96,57.02
IA,44.65,52.8
KS,41.56,56.21
KY,36.15,62.09
LA,39.85,58.46
ME,52.53,43.55
MD,65.36,32.15
MA,65.12,31.91
MI,50.62,47.84
MN,52.4,45.28
MS,41.06,57.6
MO,41.41,56.8
MT,40.55,56.92
NE,39.17,58.22
NV,50.06,47.67
NH,52.71,45.36
NJ,57.33,41.4
NM,54.29,43.5
NY,60.39,37.46
NC,48.59,49.93
ND,31.76,65.11
OH,45.24,53.27
OK,32.29,65.37
OR,56.45,40.37
PA,50.01,48.84
RI,59.48,38.67
SC,43.42,55.09
SD,35.61,61.77
TN,37.45,60.66
TX,46.48,52.06
UT,37.65,58.13
VT,65.46,30.38
VA,54.11,44
WA,57.97,38.77
WV,29.7,68.63
WI,49.45,48.82
WY,26.39,69.5